TSEcod;IBGEcod;Municipio;UF;COD_UF_IBGE;UF_MUN;MAPA_2010;ELE_MUN_2008
01031;1200435;SANTA ROSA DO PURUS;AC;12;AC_SANTA ROSA DO PURUS;SIM;SIM
01538;1200450;SENADOR GUIOMARD;AC;12;AC_SENADOR GUIOMARD;SIM;SIM
01457;1200500;SENA MADUREIRA;AC;12;AC_SENA MADUREIRA;SIM;SIM
01473;1200609;TARAUACA;AC;12;AC_TARAUACA;SIM;SIM
01490;1200708;XAPURI;AC;12;AC_XAPURI;SIM;SIM
01023;1200807;PORTO ACRE;AC;12;AC_PORTO ACRE;SIM;SIM
02895;1300029;ALVARAES;AM;13;AM_ALVARAES;SIM;SIM
02917;1300060;AMATURA;AM;13;AM_AMATURA;SIM;SIM
02933;1300086;ANAMA;AM;13;AM_ANAMA;SIM;SIM
02038;1300102;ANORI;AM;13;AM_ANORI;SIM;SIM
02003;1300144;APUI;AM;13;AM_APUI;SIM;SIM
02054;1300201;ATALAIA DO NORTE;AM;13;AM_ATALAIA DO NORTE;SIM;SIM
02070;1300300;AUTAZES;AM;13;AM_AUTAZES;SIM;SIM
02097;1300409;BARCELOS;AM;13;AM_BARCELOS;SIM;SIM
02119;1300508;BARREIRINHA;AM;13;AM_BARREIRINHA;SIM;SIM
02135;1300607;BENJAMIN CONSTANT;AM;13;AM_BENJAMIN CONSTANT;SIM;SIM
02950;1300631;BERURI;AM;13;AM_BERURI;SIM;SIM
02976;1300680;BOA VISTA DO RAMOS;AM;13;AM_BOA VISTA DO RAMOS;SIM;SIM
02151;1300706;BOCA DO ACRE;AM;13;AM_BOCA DO ACRE;SIM;SIM
02178;1300805;BORBA;AM;13;AM_BORBA;SIM;SIM
02992;1300839;CAAPIRANGA;AM;13;AM_CAAPIRANGA;SIM;SIM
02194;1300904;CANUTAMA;AM;13;AM_CANUTAMA;SIM;SIM
02216;1301001;CARAUARI;AM;13;AM_CARAUARI;SIM;SIM
02232;1301100;CAREIRO;AM;13;AM_CAREIRO;SIM;SIM
02046;1301159;CARREIRO DA VARZEA;AM;13;AM_CARREIRO DA VARZEA;SIM;SIM
02259;1301209;COARI;AM;13;AM_COARI;SIM;SIM
02275;1301308;CODAJAS;AM;13;AM_CODAJAS;SIM;SIM
02291;1301407;EIRUNEPE;AM;13;AM_EIRUNEPE;SIM;SIM
02313;1301506;ENVIRA;AM;13;AM_ENVIRA;SIM;SIM
02330;1301605;FONTE BOA;AM;13;AM_FONTE BOA;SIM;SIM
02020;1301654;GUAJARA;AM;13;AM_GUAJARA;SIM;SIM
02356;1301704;HUMAITA;AM;13;AM_HUMAITA;SIM;SIM
02399;1301803;IPIXUNA;AM;13;AM_IPIXUNA;SIM;SIM
98353;1301852;IRANDUBA;AM;13;AM_IRANDUBA;SIM;SIM
02410;1301902;ITACOATIARA;AM;13;AM_ITACOATIARA;SIM;SIM
98370;1301951;ITAMARATI;AM;13;AM_ITAMARATI;SIM;SIM
02437;1302009;ITAPIRANGA;AM;13;AM_ITAPIRANGA;SIM;SIM
02453;1302108;JAPURA;AM;13;AM_JAPURA;SIM;SIM
02470;1302207;JURUA;AM;13;AM_JURUA;SIM;SIM
02496;1302306;JUTAI;AM;13;AM_JUTAI;SIM;SIM
02518;1302405;LABREA;AM;13;AM_LABREA;SIM;SIM
02534;1302504;MANACAPURU;AM;13;AM_MANACAPURU;SIM;SIM
98396;1302553;MANAQUIRI;AM;13;AM_MANAQUIRI;SIM;SIM
02550;1302603;MANAUS;AM;13;AM_MANAUS;SIM;SIM
02577;1302702;MANICORE;AM;13;AM_MANICORE;SIM;SIM
02593;1302801;MARAA;AM;13;AM_MARAA;SIM;SIM
02615;1302900;MAUES;AM;13;AM_MAUES;SIM;SIM
02631;1303007;NHAMUNDA;AM;13;AM_NHAMUNDA;SIM;SIM
02658;1303106;NOVA OLINDA DO NORTE;AM;13;AM_NOVA OLINDA DO NORTE;SIM;SIM
02011;1303205;NOVO AIRAO;AM;13;AM_NOVO AIRAO;SIM;SIM
02674;1303304;NOVO ARIPUANA;AM;13;AM_NOVO ARIPUANA;SIM;SIM
02690;1303403;PARINTINS;AM;13;AM_PARINTINS;SIM;SIM
02712;1303502;PAUINI;AM;13;AM_PAUINI;SIM;SIM
98418;1303536;PRESIDENTE FIGUEIREDO;AM;13;AM_PRESIDENTE FIGUEIREDO;SIM;SIM
98434;1303569;RIO PRETO DA EVA;AM;13;AM_RIO PRETO DA EVA;SIM;SIM
02372;1303601;SANTA ISABEL DO RIO NEGRO;AM;13;AM_SANTA ISABEL DO RIO NEGRO;SIM;SIM
02739;1303700;SANTO ANTONIO DO ICA;AM;13;AM_SANTO ANTONIO DO ICA;SIM;SIM
02836;1303809;SAO GABRIEL DA CACHOEIRA;AM;13;AM_SAO GABRIEL DA CACHOEIRA;SIM;SIM
02755;1303908;SAO PAULO DE OLIVENCA;AM;13;AM_SAO PAULO DE OLIVENCA;SIM;SIM
98450;1303957;SAO SEBASTIAO DO UATUMA;AM;13;AM_SAO SEBASTIAO DO UATUMA;SIM;SIM
02771;1304005;SILVES;AM;13;AM_SILVES;SIM;SIM
98477;1304062;TABATINGA;AM;13;AM_TABATINGA;SIM;SIM
02798;1304104;TAPAUA;AM;13;AM_TAPAUA;SIM;SIM
02810;1304203;TEFE;AM;13;AM_TEFE;SIM;SIM
98515;1304237;TONANTINS;AM;13;AM_TONANTINS;SIM;SIM
98493;1304260;UARINI;AM;13;AM_UARINI;SIM;SIM
02852;1304302;URUCARA;AM;13;AM_URUCARA;SIM;SIM
02879;1304401;URUCURITUBA;AM;13;AM_URUCURITUBA;SIM;SIM
03042;1400027;AMAJARI;RR;14;RR_AMAJARI;SIM;SIM
03050;1400050;ALTO ALEGRE;RR;14;RR_ALTO ALEGRE;SIM;SIM
03018;1400100;BOA VISTA;RR;14;RR_BOA VISTA;SIM;SIM
03077;1400159;BONFIM;RR;14;RR_BONFIM;SIM;SIM
03069;1400175;CANTA;RR;14;RR_CANTA;SIM;SIM
03034;1400209;CARACARAI;RR;14;RR_CARACARAI;SIM;SIM
03000;1400233;CAROEBE;RR;14;RR_CAROEBE;SIM;SIM
03026;1400282;IRACEMA;RR;14;RR_IRACEMA;SIM;SIM
03093;1400308;MUCAJAI;RR;14;RR_MUCAJAI;SIM;SIM
03115;1400407;NORMANDIA;RR;14;RR_NORMANDIA;SIM;SIM
03123;1400456;PACARAIMA;RR;14;RR_PACARAIMA;SIM;SIM
03085;1400472;RORAINOPOLIS;RR;14;RR_RORAINOPOLIS;SIM;SIM
03131;1400506;SAO JOAO DA BALIZA;RR;14;RR_SAO JOAO DA BALIZA;SIM;SIM
03158;1400605;SAO LUIZ;RR;14;RR_SAO LUIZ;SIM;SIM
03107;1400704;UIRAMUTA;RR;14;RR_UIRAMUTA;SIM;SIM
04014;1500107;ABAETETUBA;PA;15;PA_ABAETETUBA;SIM;SIM
04502;1500131;ABEL FIGUEIREDO;PA;15;PA_ABEL FIGUEIREDO;SIM;SIM
04030;1500206;ACARA;PA;15;PA_ACARA;SIM;SIM
04057;1500305;AFUA;PA;15;PA_AFUA;SIM;SIM
04260;1500347;AGUA AZUL DO NORTE;PA;15;PA_AGUA AZUL DO NORTE;SIM;SIM
04073;1500404;ALENQUER;PA;15;PA_ALENQUER;SIM;SIM
04090;1500503;ALMEIRIM;PA;15;PA_ALMEIRIM;SIM;SIM
04111;1500602;ALTAMIRA;PA;15;PA_ALTAMIRA;SIM;SIM
04138;1500701;ANAJAS;PA;15;PA_ANAJAS;SIM;SIM
04154;1500800;ANANINDEUA;PA;15;PA_ANANINDEUA;SIM;SIM
04723;1500859;ANAPU;PA;15;PA_ANAPU;SIM;SIM
04170;1500909;AUGUSTO CORREA;PA;15;PA_AUGUSTO CORREA;SIM;SIM
04340;1500958;AURORA DO PARA;PA;15;PA_AURORA DO PARA;SIM;SIM
04197;1501006;AVEIRO;PA;15;PA_AVEIRO;SIM;SIM
04219;1501105;BAGRE;PA;15;PA_BAGRE;SIM;SIM
04235;1501204;BAIAO;PA;15;PA_BAIAO;SIM;SIM
04588;1501253;BANNACH;PA;15;PA_BANNACH;SIM;SIM
04251;1501303;BARCARENA;PA;15;PA_BARCARENA;SIM;SIM
04278;1501402;BELEM;PA;15;PA_BELEM;SIM;SIM
04804;1501451;BELTERRA;PA;15;PA_BELTERRA;SIM;SIM
04294;1501501;BENEVIDES;PA;15;PA_BENEVIDES;SIM;SIM
04049;1501576;BOM JESUS DO TOCANTINS;PA;15;PA_BOM JESUS DO TOCANTINS;SIM;SIM
04316;1501600;BONITO;PA;15;PA_BONITO;SIM;SIM
04332;1501709;BRAGANCA;PA;15;PA_BRAGANCA;SIM;SIM
04227;1501725;BRASIL NOVO;PA;15;PA_BRASIL NOVO;SIM;SIM
